"","NBA.team","X2018.2019.season.Home..Game.Attendance","1% increase of Home game attendance","Difference of 1% home attendance increase and home attendance","Percantage increase"
"1","Brooklyn Nets","15,293",15445.93,152.93,"1.16%"
"2","Phoniex Suns","15,305",15458.05,153.05,"1.16%"
"3","Minnesota Timberwolves","15,327",15480.27,153.27,"1.16%"
"4","Atlanta Hawks","15,578",15733.78,155.78,"1.14%"
"5","Memphis Grizzlies","16,004",16164.04,160.04,"1.11%"
"6","New Orlean Pelicans","16,486",16650.86,164.86,"1.08%"
"7","Detroit Piston","16,501",16666.01,165.01,"1.07%"
"8","Charlotte Hornets","16,812",16980.12,168.12,"1.05%"
"9","Indiana Pacers","17,096",17266.96,170.96,"1.04%"
"10","Sacromento Kings","17,325",17498.25,173.25,"1.02%"
"11","Los Angeles Clippers","17,487",17661.87,174.87,"1.01%"
"12","Washington Wizards","17,561",17736.61,175.61,"1.01%"
"13","Milwuake Bucks","17,602",17778.02,176.02,"1.01%"
"14","Orlando Magic","17,602",17778.02,176.02,"1.01%"
"15","Houston Rockets","18,058",18238.58,180.58,"0.98%"
"16","Oklahoma City Thunders","18,203",18385.03,182.03,"0.97%"
"17","Utah Jazz","18,306",18489.06,183.06,"0.97%"
"18","San Antonio Spurs","18,307",18490.07,183.07,"0.97%"
"19","Denver Nuggets","18,450",18634.5,184.5,"0.96%"
"20","Boston Celtics","18,624",18810.24,186.24,"0.95%"
"21","Los Angeles Lakers","18,997",19186.97,189.97,"0.93%"
"22","New York Knicks","19,002",19192.02,190.02,"0.93%"
"23","Cleveland Cavaliers","19,349",19542.49,193.49,"0.92%"
"24","Portland Trail blazers","19,496",19690.96,194.96,"0.91%"
"25","Golden State Warriors","19,596",19791.96,195.96,"0.90%"
"26","Miami Heat","19,640",19836.4,196.4,"0.90%"
"27","Toronto Raptors","19,824",20022.24,198.24,"0.89%"
"28","Dallas Mavericks","20,013",20213.13,200.13,"0.89%"
"29","Chicago Bulls","20,084",20284.84,200.84,"0.88%"
"30","Philedelphia 76ers","20,441",20645.41,204.41,"0.87%"
